id_unidad_instituto,id_implementacion,id_categoria,id_sexo,cantidad_alumnos_inscritos,cantidad_alumnos_certificados,grupo_tipo_unidad,grupo_delegacion,tipo_curso,cantidad_no_accesos
8119,519,148,2,1,0,HP,SL,Sin tipo asignado,1
8048,519,148,1,1,0,HMF,SL,Sin tipo asignado,0
8048,519,148,3,1,0,HMF,SL,Sin tipo asignado,0
8049,519,148,1,3,3,HMF,SL,Sin tipo asignado,0
8049,519,148,2,1,1,HMF,SL,Sin tipo asignado,0
8060,519,148,1,3,0,HMF,SL,Sin tipo asignado,2
8062,519,148,1,1,0,HMF,SL,Sin tipo asignado,1
8062,519,148,2,2,0,HMF,SL,Sin tipo asignado,2
7400,519,148,2,1,0,MF,SL,Sin tipo asignado,1
8243,519,148,2,1,1,UMAE,SR,Sin tipo asignado,0
8186,519,148,2,1,1,HP,SR,Sin tipo asignado,0
8154,519,148,2,1,0,HP,SR,Sin tipo asignado,1
8122,519,148,1,1,0,HP,SR,Sin tipo asignado,1
8128,519,148,2,2,1,HP,SR,Sin tipo asignado,1
8124,519,148,2,1,0,HP,SR,Sin tipo asignado,0
7512,519,148,1,1,0,MF,SR,Sin tipo asignado,0
7310,519,148,2,1,1,MF,SR,Sin tipo asignado,0
7236,519,148,1,1,0,MF,SR,Sin tipo asignado,0
6972,519,148,2,1,1,MF,SR,Sin tipo asignado,0
8162,519,148,1,4,1,HP,TS,Sin tipo asignado,0
8162,519,148,2,1,1,HP,TS,Sin tipo asignado,0
8116,519,148,1,3,1,HUMAA,TS,Sin tipo asignado,1
8116,519,148,2,1,0,HUMAA,TS,Sin tipo asignado,0
7086,519,148,1,1,0,MF,TS,Sin tipo asignado,1
7254,519,148,2,1,0,MF,TS,Sin tipo asignado,0
7478,519,148,1,1,0,MF,TS,Sin tipo asignado,1
7478,519,148,2,1,0,MF,TS,Sin tipo asignado,1
8152,519,148,1,3,1,HP,VZN,Sin tipo asignado,1
8152,519,148,2,1,0,HP,VZN,Sin tipo asignado,0
8018,519,148,2,2,0,HMF,VZN,Sin tipo asignado,1
8016,519,148,1,3,1,HMF,VZS,Sin tipo asignado,1
8016,519,148,2,1,1,HMF,VZS,Sin tipo asignado,0
8000,519,148,1,2,2,HMF,VZS,Sin tipo asignado,0
8000,519,148,2,1,1,HMF,VZS,Sin tipo asignado,0
9154,519,148,1,1,0,,VZS,Sin tipo asignado,1
9154,519,148,2,2,0,,VZS,Sin tipo asignado,1
7146,519,148,2,1,0,MF,VZS,Sin tipo asignado,1
9586,519,148,1,1,0,,YN,Sin tipo asignado,0
9587,519,148,1,1,0,,YN,Sin tipo asignado,0
8144,519,148,1,1,0,HP,ZS,Sin tipo asignado,1
8114,519,148,2,1,0,HUMAA,ZS,Sin tipo asignado,1
7042,519,148,2,1,1,MF,ZS,Sin tipo asignado,0
7060,519,148,1,2,0,MF,DFN,Sin tipo asignado,1
13202,494,146,2,3,0,,AS,Actualización,0
7674,494,146,1,1,0,MF,AS,Actualización,0
7674,494,148,1,1,0,MF,AS,Actualización,0
7675,494,146,2,1,0,MF,AS,Actualización,0
6971,494,89,1,1,0,MF,BC,Actualización,0
6971,494,146,1,2,0,MF,BC,Actualización,0
6971,494,146,2,3,0,MF,BC,Actualización,0
7333,494,146,2,2,0,MF,BC,Actualización,0
7537,494,146,1,1,0,MF,BC,Actualización,0
7603,494,146,2,1,0,MF,BC,Actualización,0
13338,494,146,2,1,0,,BS,Actualización,0
8052,494,146,1,2,0,HMF,BS,Actualización,0
8052,494,146,2,4,0,HMF,BS,Actualización,0
